소재지지번주소,위도,경도
충청남도 아산시 둔포면 신항리768-2,36.896427,127.032525
충청남도 아산시 둔포면 송용리101-1,36.926824,127.033766
충청남도 아산시 배방읍 장재리1795,36.789196,127.108352
충청남도 아산시 배방읍 세교리424-6,36.78189985,127.093631
충청남도 아산시 배방읍 공수리1168,36.771443,127.057538
충청남도 아산시 배방읍 장재리1844,36.78676703,127.1106491
충청남도 아산시 배방읍 장재리2035,36.787596,127.109594
충청남도 아산시 배방읍 북수리202,36.76606269,127.0708837
충청남도 아산시 배방읍 북수리1020,36.772042,
충청남도 아산시 배방읍 북수리1159,,
충청남도 아산시 배방읍 북수리1278,36.77143276,127.0718603
충청남도 아산시 배방읍 수철리260-4,36.72611778,127.0594146
충청남도 아산시 배방읍 장재리1798,36.787092,127.106425
충청남도 아산시 배방읍 장재리2040,,127.113056
충청남도 아산시 배방읍 장재리1844,36.78547362,127.1109834
충청남도 아산시 배방읍 장재리2033,36.788377,127.110093
충청남도 아산시 배방읍 장재리2001,36.788495,127.104947
충청남도 아산시 배방읍 장재리1541,36.78587253,127.0923363
충청남도 아산시 배방읍 장재리1981,36.783944,127.093617
충청남도 아산시 배방읍 장재리1981,36.784858,127.095715
충청남도 아산시 배방읍 장재리1536,36.785285,127.090616
충청남도 아산시 배방읍 장재리2040,,127.095452
충청남도 아산시 배방읍 장재리 601,36.791463,127.091811
충청남도 아산시 배방읍 장재리2026,36.791961,127.106237
충청남도 아산시 배방읍 장재리1960,36.792676,127.090302
충청남도 아산시 배방읍 장재리1207,36.790258,127.090446
충청남도 아산시 배방읍 장재리1954,36.796041,127.089793
충청남도 아산시 배방읍 장재리 597,36.792636,127.088205
충청남도 아산시 배방읍 장재리1213,36.792903,127.093168
충청남도 아산시 배방읍 신흥리 64-1,36.755417,127.032687
충청남도 아산시 배방읍 공수리641,36.771691,127.053443
충청남도 아산시 배방읍 북수리362-4,36.774052,127.075209
충청남도 아산시 배방읍 장재리373,36.796069,127.105113
충청남도 아산시 배방읍 장재리350-1,36.796964,127.102931
